Terytorium;Przyst¹pi³o_zda³o;P³eæ;Rok;Liczba osób
Œwiêtokrzyskie;przyst¹pi³o;kobiety;2013;6382
Œwiêtokrzyskie;przyst¹pi³o;mê¿czyŸni;2014;4776
Œwiêtokrzyskie;przyst¹pi³o;kobiety;2014;6022
Œwiêtokrzyskie;przyst¹pi³o;mê¿czyŸni;2015;4471
Œwiêtokrzyskie;przyst¹pi³o;kobiety;2015;5710
Œwiêtokrzyskie;przyst¹pi³o;mê¿czyŸni;2016;4229
Œwiêtokrzyskie;przyst¹pi³o;kobiety;2016;5305
Œwiêtokrzyskie;przyst¹pi³o;mê¿czyŸni;2017;3969
Œwiêtokrzyskie;przyst¹pi³o;kobiety;2017;5238
Œwiêtokrzyskie;przyst¹pi³o;mê¿czyŸni;2018;4066
Œwiêtokrzyskie;przyst¹pi³o;kobiety;2018;4777
Œwiêtokrzyskie;zda³o;mê¿czyŸni;2010;4604
Œwiêtokrzyskie;zda³o;kobiety;2010;6189
Œwiêtokrzyskie;zda³o;mê¿czyŸni;2011;4156
Œwiêtokrzyskie;zda³o;kobiety;2011;5641
Œwiêtokrzyskie;zda³o;mê¿czyŸni;2012;4152
Œwiêtokrzyskie;zda³o;kobiety;2012;5612
Œwiêtokrzyskie;zda³o;mê¿czyŸni;2013;4030
Œwiêtokrzyskie;zda³o;kobiety;2013;5150
Œwiêtokrzyskie;zda³o;mê¿czyŸni;2014;3268
Œwiêtokrzyskie;zda³o;kobiety;2014;4407
Œwiêtokrzyskie;zda³o;mê¿czyŸni;2015;3302
Œwiêtokrzyskie;zda³o;kobiety;2015;4351
Œwiêtokrzyskie;zda³o;mê¿czyŸni;2016;3322
Œwiêtokrzyskie;zda³o;kobiety;2016;4315
Œwiêtokrzyskie;zda³o;mê¿czyŸni;2017;3035
Œwiêtokrzyskie;zda³o;kobiety;2017;4172
Œwiêtokrzyskie;zda³o;mê¿czyŸni;2018;3208
Œwiêtokrzyskie;zda³o;kobiety;2018;3869
Warmiñsko-Mazurskie;przyst¹pi³o;mê¿czyŸni;2010;5889
Warmiñsko-Mazurskie;przyst¹pi³o;kobiety;2010;7890
Warmiñsko-Mazurskie;przyst¹pi³o;mê¿czyŸni;2011;5701
Warmiñsko-Mazurskie;przyst¹pi³o;kobiety;2011;7398
Warmiñsko-Mazurskie;przyst¹pi³o;mê¿czyŸni;2012;5315
Warmiñsko-Mazurskie;przyst¹pi³o;kobiety;2012;7134
Warmiñsko-Mazurskie;przyst¹pi³o;mê¿czyŸni;2013;4979
Warmiñsko-Mazurskie;przyst¹pi³o;kobiety;2013;6537
Warmiñsko-Mazurskie;przyst¹pi³o;mê¿czyŸni;2014;4729
Warmiñsko-Mazurskie;przyst¹pi³o;kobiety;2014;6257
Warmiñsko-Mazurskie;przyst¹pi³o;mê¿czyŸni;2015;4382
Warmiñsko-Mazurskie;przyst¹pi³o;kobiety;2015;5751
Warmiñsko-Mazurskie;przyst¹pi³o;mê¿czyŸni;2016;4048
Warmiñsko-Mazurskie;przyst¹pi³o;kobiety;2016;5318
Warmiñsko-Mazurskie;przyst¹pi³o;mê¿czyŸni;2017;4126
Warmiñsko-Mazurskie;przyst¹pi³o;kobiety;2017;5146
Warmiñsko-Mazurskie;przyst¹pi³o;mê¿czyŸni;2018;3919
Warmiñsko-Mazurskie;przyst¹pi³o;kobiety;2018;4907
Warmiñsko-Mazurskie;zda³o;mê¿czyŸni;2010;4745
Warmiñsko-Mazurskie;zda³o;kobiety;2010;6340
Warmiñsko-Mazurskie;zda³o;mê¿czyŸni;2011;4174
Warmiñsko-Mazurskie;zda³o;kobiety;2011;5428
Warmiñsko-Mazurskie;zda³o;mê¿czyŸni;2012;4125
Warmiñsko-Mazurskie;zda³o;kobiety;2012;5615
Warmiñsko-Mazurskie;zda³o;mê¿czyŸni;2013;3926
Warmiñsko-Mazurskie;zda³o;kobiety;2013;5290
Warmiñsko-Mazurskie;zda³o;mê¿czyŸni;2014;3174
Warmiñsko-Mazurskie;zda³o;kobiety;2014;4266
Warmiñsko-Mazurskie;zda³o;mê¿czyŸni;2015;3164
Warmiñsko-Mazurskie;zda³o;kobiety;2015;4022
Warmiñsko-Mazurskie;zda³o;mê¿czyŸni;2016;3085
Warmiñsko-Mazurskie;zda³o;kobiety;2016;4024
Warmiñsko-Mazurskie;zda³o;mê¿czyŸni;2017;3126
Warmiñsko-Mazurskie;zda³o;kobiety;2017;3742
Warmiñsko-Mazurskie;zda³o;mê¿czyŸni;2018;2968
Warmiñsko-Mazurskie;zda³o;kobiety;2018;3867
Wielkopolskie;przyst¹pi³o;mê¿czyŸni;2010;14251
Wielkopolskie;przyst¹pi³o;kobiety;2010;18497
Wielkopolskie;przyst¹pi³o;mê¿czyŸni;2011;13173
Wielkopolskie;przyst¹pi³o;kobiety;2011;17444
Wielkopolskie;przyst¹pi³o;mê¿czyŸni;2012;12877
Wielkopolskie;przyst¹pi³o;kobiety;2012;16844
Wielkopolskie;przyst¹pi³o;mê¿czyŸni;2013;11963
Wielkopolskie;przyst¹pi³o;kobiety;2013;15769
Wielkopolskie;przyst¹pi³o;mê¿czyŸni;2014;11132
Wielkopolskie;przyst¹pi³o;kobiety;2014;14789
Wielkopolskie;przyst¹pi³o;mê¿czyŸni;2015;10760
Wielkopolskie;przyst¹pi³o;kobiety;2015;13823
Wielkopolskie;przyst¹pi³o;mê¿czyŸni;2016;10123
Wielkopolskie;przyst¹pi³o;kobiety;2016;13093
Wielkopolskie;przyst¹pi³o;mê¿czyŸni;2017;10113
Wielkopolskie;przyst¹pi³o;kobiety;2017;13015
Wielkopolskie;przyst¹pi³o;mê¿czyŸni;2018;9824
Wielkopolskie;przyst¹pi³o;kobiety;2018;12386
Wielkopolskie;zda³o;mê¿czyŸni;2010;11337
Wielkopolskie;zda³o;kobiety;2010;15243
Wielkopolskie;zda³o;mê¿czyŸni;2011;9838
Wielkopolskie;zda³o;kobiety;2011;13245
Wielkopolskie;zda³o;mê¿czyŸni;2012;10317
Wielkopolskie;zda³o;kobiety;2012;13534
Wielkopolskie;zda³o;mê¿czyŸni;2013;9524
Wielkopolskie;zda³o;kobiety;2013;12803
Wielkopolskie;zda³o;mê¿czyŸni;2014;7765
Wielkopolskie;zda³o;kobiety;2014;10340
Wielkopolskie;zda³o;mê¿czyŸni;2015;7821
Wielkopolskie;zda³o;kobiety;2015;10006
Wielkopolskie;zda³o;mê¿czyŸni;2016;7964
Wielkopolskie;zda³o;kobiety;2016;10246
Wielkopolskie;zda³o;mê¿czyŸni;2017;7929
Wielkopolskie;zda³o;kobiety;2017;10110
Wielkopolskie;zda³o;mê¿czyŸni;2018;7648
Wielkopolskie;zda³o;kobiety;2018;9973
Zachodniopomorskie;przyst¹pi³o;mê¿czyŸni;2010;6235
Zachodniopomorskie;przyst¹pi³o;kobiety;2010;8349
Zachodniopomorskie;przyst¹pi³o;mê¿czyŸni;2011;5604
Zachodniopomorskie;przyst¹pi³o;kobiety;2011;7642
Zachodniopomorskie;przyst¹pi³o;mê¿czyŸni;2012;5558
Zachodniopomorskie;przyst¹pi³o;kobiety;2012;7143
Zachodniopomorskie;przyst¹pi³o;mê¿czyŸni;2013;5468
Zachodniopomorskie;przyst¹pi³o;kobiety;2013;6939
Zachodniopomorskie;przyst¹pi³o;mê¿czyŸni;2014;5125
Zachodniopomorskie;przyst¹pi³o;kobiety;2014;6594
Zachodniopomorskie;przyst¹pi³o;mê¿czyŸni;2015;4720
Zachodniopomorskie;przyst¹pi³o;kobiety;2015;5924
Zachodniopomorskie;przyst¹pi³o;mê¿czyŸni;2016;4368
Zachodniopomorskie;przyst¹pi³o;kobiety;2016;5488
Zachodniopomorskie;przyst¹pi³o;mê¿czyŸni;2017;4445
Zachodniopomorskie;przyst¹pi³o;kobiety;2017;5301
Zachodniopomorskie;przyst¹pi³o;mê¿czyŸni;2018;4172
Zachodniopomorskie;przyst¹pi³o;kobiety;2018;5215
Zachodniopomorskie;zda³o;mê¿czyŸni;2010;5055
Zachodniopomorskie;zda³o;kobiety;2010;6624
Zachodniopomorskie;zda³o;mê¿czyŸni;2011;4129
Zachodniopomorskie;zda³o;kobiety;2011;5573
Zachodniopomorskie;zda³o;mê¿czyŸni;2012;4342
Zachodniopomorskie;zda³o;kobiety;2012;5573
Zachodniopomorskie;zda³o;mê¿czyŸni;2013;4323
Zachodniopomorskie;zda³o;kobiety;2013;5507
Zachodniopomorskie;zda³o;mê¿czyŸni;2014;3499
Zachodniopomorskie;zda³o;kobiety;2014;4327
Zachodniopomorskie;zda³o;mê¿czyŸni;2015;3386
Zachodniopomorskie;zda³o;kobiety;2015;4081
Zachodniopomorskie;zda³o;mê¿czyŸni;2016;3375
Zachodniopomorskie;zda³o;kobiety;2016;4144
Zachodniopomorskie;zda³o;mê¿czyŸni;2017;3357
Zachodniopomorskie;zda³o;kobiety;2017;3875
Zachodniopomorskie;zda³o;mê¿czyŸni;2018;3247
Zachodniopomorskie;zda³o;kobiety;2018;3964
