Terytorium;Przyst¹pi³o_zda³o;P³eæ;Rok;Liczba osób
Kujawsko-pomorskie;zda³o;mê¿czyŸni;2010;6642
Kujawsko-pomorskie;zda³o;kobiety;2010;8803
Kujawsko-pomorskie;zda³o;mê¿czyŸni;2011;5733
Kujawsko-pomorskie;zda³o;kobiety;2011;7696
Kujawsko-pomorskie;zda³o;mê¿czyŸni;2012;5798
Kujawsko-pomorskie;zda³o;kobiety;2012;7689
Kujawsko-pomorskie;zda³o;mê¿czyŸni;2013;5814
Kujawsko-pomorskie;zda³o;kobiety;2013;7705
Kujawsko-pomorskie;zda³o;mê¿czyŸni;2014;4808
Kujawsko-pomorskie;zda³o;kobiety;2014;6166
Kujawsko-pomorskie;zda³o;mê¿czyŸni;2015;4930
Kujawsko-pomorskie;zda³o;kobiety;2015;5990
Kujawsko-pomorskie;zda³o;mê¿czyŸni;2016;4736
Kujawsko-pomorskie;zda³o;kobiety;2016;5920
Kujawsko-pomorskie;zda³o;mê¿czyŸni;2017;4757
Kujawsko-pomorskie;zda³o;kobiety;2017;5791
Kujawsko-pomorskie;zda³o;mê¿czyŸni;2018;4360
Kujawsko-pomorskie;zda³o;kobiety;2018;5415
Lubelskie;przyst¹pi³o;mê¿czyŸni;2010;10442
Lubelskie;przyst¹pi³o;kobiety;2010;13185
Lubelskie;przyst¹pi³o;mê¿czyŸni;2011;10006
Lubelskie;przyst¹pi³o;kobiety;2011;12715
Lubelskie;przyst¹pi³o;mê¿czyŸni;2012;9670
Lubelskie;przyst¹pi³o;kobiety;2012;11861
Lubelskie;przyst¹pi³o;mê¿czyŸni;2013;9117
Lubelskie;przyst¹pi³o;kobiety;2013;11425
Lubelskie;przyst¹pi³o;mê¿czyŸni;2014;8448
Lubelskie;przyst¹pi³o;kobiety;2014;10361
Lubelskie;przyst¹pi³o;mê¿czyŸni;2015;7807
Lubelskie;przyst¹pi³o;kobiety;2015;9656
Lubelskie;przyst¹pi³o;mê¿czyŸni;2016;7336
Lubelskie;przyst¹pi³o;kobiety;2016;9096
Lubelskie;przyst¹pi³o;mê¿czyŸni;2017;7512
Lubelskie;przyst¹pi³o;kobiety;2017;9234
Lubelskie;przyst¹pi³o;mê¿czyŸni;2018;2543
Lubelskie;przyst¹pi³o;kobiety;2018;3160
Lubelskie;zda³o;mê¿czyŸni;2010;8124
Lubelskie;zda³o;kobiety;2010;10738
Lubelskie;zda³o;mê¿czyŸni;2011;7246
Lubelskie;zda³o;kobiety;2011;9574
Lubelskie;zda³o;mê¿czyŸni;2012;7594
Lubelskie;zda³o;kobiety;2012;9627
Lubelskie;zda³o;mê¿czyŸni;2013;7186
Lubelskie;zda³o;kobiety;2013;9300
Lubelskie;zda³o;mê¿czyŸni;2014;5752
Lubelskie;zda³o;kobiety;2014;7458
Lubelskie;zda³o;mê¿czyŸni;2015;5617
Lubelskie;zda³o;kobiety;2015;7102
Lubelskie;zda³o;mê¿czyŸni;2016;5761
Lubelskie;zda³o;kobiety;2016;7287
Lubelskie;zda³o;mê¿czyŸni;2017;5783
Lubelskie;zda³o;kobiety;2017;7247
Lubelskie;zda³o;mê¿czyŸni;2018;2043
Lubelskie;zda³o;kobiety;2018;2502
Lubuskie;przyst¹pi³o;mê¿czyŸni;2010;3745
Lubuskie;przyst¹pi³o;kobiety;2010;5079
Lubuskie;przyst¹pi³o;mê¿czyŸni;2011;3351
Lubuskie;przyst¹pi³o;kobiety;2011;4439
Lubuskie;przyst¹pi³o;mê¿czyŸni;2012;3203
Lubuskie;przyst¹pi³o;kobiety;2012;4353
Lubuskie;przyst¹pi³o;mê¿czyŸni;2013;3121
Lubuskie;przyst¹pi³o;kobiety;2013;4222
Lubuskie;przyst¹pi³o;mê¿czyŸni;2014;3028
Lubuskie;przyst¹pi³o;kobiety;2014;3959
Lubuskie;przyst¹pi³o;mê¿czyŸni;2015;2811
Lubuskie;przyst¹pi³o;kobiety;2015;3532
Lubuskie;przyst¹pi³o;mê¿czyŸni;2016;2520
Lubuskie;przyst¹pi³o;kobiety;2016;3244
Lubuskie;przyst¹pi³o;mê¿czyŸni;2017;2687
Lubuskie;przyst¹pi³o;kobiety;2017;3272
Lubuskie;przyst¹pi³o;mê¿czyŸni;2018;7219
Lubuskie;przyst¹pi³o;kobiety;2018;8531
Lubuskie;zda³o;mê¿czyŸni;2010;3067
Lubuskie;zda³o;kobiety;2010;4197
Lubuskie;zda³o;mê¿czyŸni;2011;2593
Lubuskie;zda³o;kobiety;2011;3378
Lubuskie;zda³o;mê¿czyŸni;2012;2684
Lubuskie;zda³o;kobiety;2012;3538
Lubuskie;zda³o;mê¿czyŸni;2013;2608
Lubuskie;zda³o;kobiety;2013;3498
Lubuskie;zda³o;mê¿czyŸni;2014;2260
Lubuskie;zda³o;kobiety;2014;2887
Lubuskie;zda³o;mê¿czyŸni;2015;2166
Lubuskie;zda³o;kobiety;2015;2642
Lubuskie;zda³o;mê¿czyŸni;2016;2068
Lubuskie;zda³o;kobiety;2016;2631
Lubuskie;zda³o;mê¿czyŸni;2017;2185
Lubuskie;zda³o;kobiety;2017;2568
Lubuskie;zda³o;mê¿czyŸni;2018;5562
Lubuskie;zda³o;kobiety;2018;6926
£ódzkie;przyst¹pi³o;mê¿czyŸni;2010;10280
£ódzkie;przyst¹pi³o;kobiety;2010;13152
£ódzkie;przyst¹pi³o;mê¿czyŸni;2011;9715
£ódzkie;przyst¹pi³o;kobiety;2011;12110
£ódzkie;przyst¹pi³o;mê¿czyŸni;2012;9181
£ódzkie;przyst¹pi³o;kobiety;2012;11925
£ódzkie;przyst¹pi³o;mê¿czyŸni;2013;8985
£ódzkie;przyst¹pi³o;kobiety;2013;11134
£ódzkie;przyst¹pi³o;mê¿czyŸni;2014;8318
£ódzkie;przyst¹pi³o;kobiety;2014;10353
£ódzkie;przyst¹pi³o;mê¿czyŸni;2015;7896
£ódzkie;przyst¹pi³o;kobiety;2015;9600
£ódzkie;przyst¹pi³o;mê¿czyŸni;2016;7462
£ódzkie;przyst¹pi³o;kobiety;2016;8940
£ódzkie;przyst¹pi³o;mê¿czyŸni;2017;7233
£ódzkie;przyst¹pi³o;kobiety;2017;8956
£ódzkie;przyst¹pi³o;mê¿czyŸni;2018;7178
£ódzkie;przyst¹pi³o;kobiety;2018;8480
£ódzkie;zda³o;mê¿czyŸni;2010;8243
£ódzkie;zda³o;kobiety;2010;10951
£ódzkie;zda³o;mê¿czyŸni;2011;7330
£ódzkie;zda³o;kobiety;2011;9257
£ódzkie;zda³o;mê¿czyŸni;2012;7287
£ódzkie;zda³o;kobiety;2012;9616
£ódzkie;zda³o;mê¿czyŸni;2013;7097
£ódzkie;zda³o;kobiety;2013;9109
£ódzkie;zda³o;mê¿czyŸni;2014;5777
£ódzkie;zda³o;kobiety;2014;7538
£ódzkie;zda³o;mê¿czyŸni;2015;5843
£ódzkie;zda³o;kobiety;2015;7080
£ódzkie;zda³o;mê¿czyŸni;2016;5820
£ódzkie;zda³o;kobiety;2016;7284
£ódzkie;zda³o;mê¿czyŸni;2017;5699
£ódzkie;zda³o;kobiety;2017;7166
£ódzkie;zda³o;mê¿czyŸni;2018;5583
£ódzkie;zda³o;kobiety;2018;6833
Ma³opolskie;przyst¹pi³o;mê¿czyŸni;2010;15190
Ma³opolskie;przyst¹pi³o;kobiety;2010;19794
Ma³opolskie;przyst¹pi³o;mê¿czyŸni;2011;14637
Ma³opolskie;przyst¹pi³o;kobiety;2011;18681
Ma³opolskie;przyst¹pi³o;mê¿czyŸni;2012;13877
Ma³opolskie;przyst¹pi³o;kobiety;2012;17914
Ma³opolskie;przyst¹pi³o;mê¿czyŸni;2013;13273
Ma³opolskie;przyst¹pi³o;kobiety;2013;16982
Ma³opolskie;przyst¹pi³o;mê¿czyŸni;2014;12562
Ma³opolskie;przyst¹pi³o;kobiety;2014;15697
Ma³opolskie;przyst¹pi³o;mê¿czyŸni;2015;11843
Ma³opolskie;przyst¹pi³o;kobiety;2015;14577
Ma³opolskie;przyst¹pi³o;mê¿czyŸni;2016;11143
Ma³opolskie;przyst¹pi³o;kobiety;2016;13893
Ma³opolskie;przyst¹pi³o;mê¿czyŸni;2017;11016
Ma³opolskie;przyst¹pi³o;kobiety;2017;13789
Ma³opolskie;przyst¹pi³o;mê¿czyŸni;2018;11042
Ma³opolskie;przyst¹pi³o;kobiety;2018;13826
Ma³opolskie;zda³o;mê¿czyŸni;2010;12328
Ma³opolskie;zda³o;kobiety;2010;16558
Ma³opolskie;zda³o;mê¿czyŸni;2011;11328
Ma³opolskie;zda³o;kobiety;2011;14413
Ma³opolskie;zda³o;mê¿czyŸni;2012;11427
Ma³opolskie;zda³o;kobiety;2012;14782
Ma³opolskie;zda³o;mê¿czyŸni;2013;10931
Ma³opolskie;zda³o;kobiety;2013;14343
Ma³opolskie;zda³o;mê¿czyŸni;2014;8951
Ma³opolskie;zda³o;kobiety;2014;11630
Ma³opolskie;zda³o;mê¿czyŸni;2015;9173
Ma³opolskie;zda³o;kobiety;2015;11297
Ma³opolskie;zda³o;mê¿czyŸni;2016;9152
Ma³opolskie;zda³o;kobiety;2016;11410
Ma³opolskie;zda³o;mê¿czyŸni;2017;9002
Ma³opolskie;zda³o;kobiety;2017;11482
Ma³opolskie;zda³o;mê¿czyŸni;2018;9099
